景区名称,主题1关键词,主题2关键词,聚类标签
重庆北碚金刀峡景区,"['北门', '南门', '索道', '金刀', '峡谷', '小时', '值得', '溪降', '景色', '景点']","['金刀', '景色', '好耍', '值得', '<empty>', '夏天', '凉快', '景点', '特别', '服务']",4
重庆园博园,"['很大', '值得', '博园', '景色', '适合', '环境', '景点', '游玩', '时间', '便宜']","['园林', '博园', '特色', '园区', '<empty>', '城市', '景观', '还好', '中国', '建筑']",3
重庆巫山神女景区（神女峰·神女溪）,"['景色', '三峡', '游客', '观光车', '红叶', '神女峰', '电瓶车', '服务', '中心', '景点']","['神女', '索道', '巫山', '电梯', '天梯', '接车', '发车', '观光车', '游客', '值得']",0
重庆铜梁安居古城,"['古城', '安居', '龙舟', '古镇', '表演', '铜梁', '座位', '文化', '看不到', '特色']","['古城', '安居', '古镇', '值得', '铜梁', '历史', '会馆', '文物古迹', '一座', '游客']",4
重庆开州汉丰湖景区,"['汉丰湖', '值得', '景色', '开州', '喜欢', '美丽', '国家', '湿地', '开县', '美景']","['公园', '开州', '汉丰湖', '值得', '丰湖', '湖边', '人工湖', '自行车', '舒服', '开县']",4
重庆荣昌万灵古镇,"['古镇', '万灵', '特别', '值得', '荣昌', '景色', '特色', '漂亮', '美食', '水乡']","['古镇', '万灵', '荣昌', '历史', '烟雨', '美女', '值得', '溪河', '休闲', '适合']",3
重庆涪陵武陵山国家森林公园,"['露营', '避暑', '凉快', '景色', '夏天', '适合', '值得', '喜欢', '森林公园', '好去处']","['帐篷', '夏天', '凉快', '酒店', '进去', '露营', '避暑', '值得', '住宿', '森林']",0
重庆铜梁黄桷门奇彩梦园,"['表演', '火龙', '铜梁', '震撼', '值得', '打铁', '漂亮', '舞龙', '晚上', '设施']","['值得', '火龙', '好看', '铜梁', '好耍', '<empty>', '景色', '特别', '很漂亮', '设施']",0
重庆彭水蚩尤九黎城景区,"['苗族', '值得', '文化', '建筑', '景点', '特色', '蚩尤', '景色', '历史', '黎城']","['建筑', '黎城', '苗族', '蚩尤', '晚上', '表演', '夜景', '彭水', '景点', '九黎']",0
重庆石柱千野草场,"['草场', '露营', '千野', '凉快', '帐篷', '万亩', '适合', '云海', '夏季', '吊床']","['露营', '草场', '千野', '避暑', '景色', '夏天', '凉快', '适合', '进去', '值得']",2
重庆南岸长嘉汇弹子石老街,"['老街', '弹子', '打卡', '购物', '值得', '夜景', '王家', '大院', '休闲', '江景']","['老街', '弹子', '长嘉汇', '夜景', '两江', '长江', '景色', '观景台', '景点', '购物']",2
重庆两江国际影视城,"['民国', '值得', '拍照', '影视城', '建筑', '特色', '景点', '两江', '一去', '适合']","['民国', '适合', '景点', '拍照', '值得', '民国时期', '景色', '喜欢', '便宜', '服装']",4
重庆长江索道景区,"['排队', '时间', '值得', '索道', '小时', '提前', '好好', '预约', '分钟', '<empty>']","['索道', '长江', '排队', '夜景', '景点', '时间', '乘坐', '晚上', '景色', '游客']",0
重庆丰都南天湖景区,"['避暑', '湖边', '冬天', '景色', '夏天', '酒店', '凉爽', '度假', '很大', '滑雪']","['值得', '天湖', '凉快', '酒店', '夏天', '东西', '确实', '景色', '露营', '设施']",4
重庆丰都九重天景区,"['值得', '栈道', '景色', '夏天', '凉快', '一去', '玻璃', '拍照', '游玩', '景点']","['玻璃', '栈道', '景色', '刺激', '值得', '项目', '丰都', '性价比', '有趣', '九重天']",2
重庆建川博物馆,"['博物馆', '建川', '历史', '值得', '防空洞', '兵工厂', '抗战', '一去', '参观', '内容']","['博物馆', '值得', '教育', '孩子', '历史', '爱国主义', '意义', '建川', '参观', '适合']",0
重庆涪陵816工程景区,"['值得', '震撼', '工程', '景点', '一去', '历史', '参观', '教育', '孩子', '意义']","['工程', '地下', '震撼', '洞体', '人工', '涪陵', '核工程', '三线建设', '世界', '参观']",0
重庆欢乐谷景区,"['喜欢', '这座', '城市', '时间', '飞侠', '亲子', '排队', '孩子', '小朋友', '下次']","['项目', '欢乐谷', '飞侠', '孩子', '哈哈哈', '排队', '特别', '刺激', '划算', '开心']",1
重庆武隆龙水峡地缝,"['地缝', '天坑', '景色', '龙水峡', '三桥', '武隆', '天生', '景点', '瀑布', '小时']","['值得', '大自然', '鬼斧神工', '景色', '一去', '瀑布', '景点', '震撼', '地缝', '一游']",0
重庆汉海海洋公园,"['小时', '两个', '特别', '才能', '收费', '携程', '进去', '第二次', '半个', '不想']","['表演', '两个', '孩子', '水母', '性价比', '太小', '不值', '动物', '值得', '场馆']",1
重庆奉节三峡之巅景区,"['三峡', '值得', '之巅', '瞿塘峡', '天气', '白帝城', '<empty>', '一去', '俯瞰', '景色']","['三峡', '之巅', '景色', '白帝城', '观光车', '小时', '缆车', '游客', '值得', '索道']",2
重庆大鹅岭旅游景区,"['公园', '鹅岭', '夜景', '免费', '景色', '胜楼', '重庆市', '晚上', '嘉陵江', '两江']","['公园', '鹅岭', '两江', '胜楼', '夜景', '值得', '半岛', '尽收眼底', '山城', '景点']",3
南川神龙峡景区,"['漂流', '神龙', '凉快', '刺激', '特别', '瀑布', '景点', '夏天', '峡谷', '适合']","['漂流', '刺激', '值得', '景色', '神龙', '观光车', '热热', '工作人员', '小时', '排队']",4
重庆酉阳叠石花谷景区,"['粉黛', '值得', '叠石', '文化', '主题', '适合', '花谷', '园区', '季节', '景色']","['叠石', '粉黛', '景色', '花谷', '值得', '酉阳', '拍照', '好看', '粉色', '特色']",2
重庆华生园金色蛋糕梦幻王国,"['城堡', '拍照', '适合', '蛋糕', '喜欢', '梦幻', '建筑', '婚纱照', '特别', '小朋友']","['城堡', '拍照', '梦幻', '值得', '华生园', '适合', '景色', '没什么', '蛋糕', '古堡']",0
重庆石柱毕兹卡绿宫景区,"['值得', '项目', '环境优美', '一去', '<empty>', '景色', '游玩', '游乐', '喜欢', '自然风景']","['空气清新', '吊床', '设施', '避暑', '景色宜人', '小朋友', '黄水', '适合', '好去处', '孩子']",0
重庆美心红酒小镇景区,"['小镇', '红酒', '项目', '美心', '馒头', '索道', '价格', '便宜', '集市', '乐园']","['项目', '游乐', '性价比', '设施', '小镇', '便宜', '红酒', '值得', '下次', '孩子']",1
重庆大足石刻景区,"['石刻', '讲解', '大足', '导游', '值得', '宝顶山', '北山', '景点', '博物馆', '小时']","['石刻', '大足', '值得', '石窟', '艺术', '宝顶山', '世界', '造像', '讲解', '历史']",2
重庆巫山小三峡—小小三峡,"['小三峡', '三峡', '巫山', '小小', '景色', '值得', '小时', '游览', '坐船', '游船']","['景色', '推销', '三峡', '导游', '游船', '船上', '小三峡', '小小', '回程', '小时']",0
重庆武隆喀斯特旅游区（天生三桥·仙女山·芙蓉洞）,"['地缝', '天坑', '大自然', '鬼斧神工', '武隆', '值得', '景色', '震撼', '三桥', '天生']","['值得', '景色', '景点', '地缝', '天坑', '小时', '一去', '武隆', '有趣', '服务']",2
重庆酉阳桃花源景区,"['桃花源', '值得', '太古', '景色', '桃花', '世外桃源', '溶洞', '酉阳', '陶渊明', '景点']","['桃花源', '酉阳', '太古', '文化', '景点', '溶洞', '古城', '世外桃源', '景色', '全程']",3
重庆万盛黑山谷景区,"['景色', '值得', '<empty>', '石林', '石头', '有趣', '一去', '好看', '性价比', '溶洞']","['石林', '万盛', '景点', '云南', '南门', '总体', '小时', '门洞', '景观', '一线天']",0
重庆南川金佛山景区,"['索道', '小时', '排队', '金佛山', '北坡', '下山', '西坡', '上山', '游客', '缆车']","['景色', '值得', '滑雪', '景点', '金佛山', '索道', '山上', '栈道', '总体', '<empty>']",1
重庆江津四面山景区,"['四面山', '农家乐', '网上', '杨梅', '服务', '时间', '订票', '取票', '方便快捷', '江津']","['景点', '瀑布', '四面山', '值得', '景色', '凉快', '望乡台', '避暑', '适合', '农家乐']",1
重庆彭水阿依河景区,"['漂流', '阿依河', '刺激', '景色', '半程', '值得', '青龙', '喜欢', '管理', '水质']","['漂流', '半程', '小时', '全程', '刺激', '划船', '阿依河', '时间', '一点', '终点']",4
重庆黔江濯水景区,"['景色', '车票', '值得', '携程', '开放', '暗河', '古镇', '坐船', '服务', '观光车']","['暗河', '景点', '值得', '游客', '古镇', '时间', '溶洞', '栈道', '游览', '蒲花']",2
重庆奉节白帝城·瞿塘峡景区,"['夔门', '白帝城', '三峡', '景点', '景色', '小时', '瞿塘峡', '之巅', '猴子', '游客']","['白帝城', '值得', '白帝', '历史', '夔门', '瞿塘峡', '景色', '托孤', '刘备', '景点']",2
重庆涪陵武陵山大裂谷景区,"['景色', '裂谷', '值得', '景点', '小时', '索道', '武陵山', '猴子', '电瓶车', '总体']","['裂谷', '值得', '索道', '武陵山', '大自然', '峡谷', '震撼', '步行', '景点', '小时']",0
重庆丰都名山风景区,"['一点', '景点', '不值', '小时', '值得', '不好玩', '爬山', '交通', '鬼城', '导游']","['鬼城', '丰都', '景点', '值得', '文化', '游玩', '地狱', '不值', '性价比', '景色']",2
重庆忠县石宝寨,"['石宝寨', '长江', '建筑', '值得', '盆景', '位于', '蓄水', '三峡', '景点', '忠县']","['石宝寨', '忠县', '长江', '建筑', '盆景', '奇异', '巨石', '小时', '江中', '寨门']",4
