重庆人民大礼堂及人民广场,2021-11-08IP属地：未知,2013年5月，被国务院列入“第七批全国重点文物保护单位”。2016年9月，重庆市人民大礼堂入选“首批中国20世纪建筑遗产”名录
重庆人民大礼堂及人民广场,2024-05-14IP属地：重庆,重庆人民大礼堂非常像北京的天坛，非常的巍峨壮观。晚上灯光开启更是璀璨夺目。如果要进到里面参观，门票是8块。对面就是重庆博物馆，又叫重庆三峡博物馆。
重庆人民大礼堂及人民广场,2024-06-19IP属地：重庆,拍照好看，建筑形制好看，色彩也好，推荐在重庆博物馆门口多拍几张照片。
重庆人民大礼堂及人民广场,2024-03-04IP属地：重庆,"重庆市人民大礼堂是重庆解放以后政府主持兴建的第一个重大建筑。解放初期的重庆,是我国西南行政区党政领导机关所在地,作为西南地区的政治经济文化中心,常有外事接待活动及重大会议召开,与此不相匹配的是,当时并没有一个能够容纳上千人的大型会议举办场所,也没有一所稍微像样的可供接待内外宾客下榻的招待所,因此,在西南军政委员会主要领导人刘伯承、邓小平、贺龙等的主持下,于1951年果断地做出决定,立即筹建一座能够容纳数千人集会的大礼堂和附建一个招待所。于是,1951年6月动工,历时近三年,我们眼前这座庄严、华丽的精美古典建筑终于在1954年4月落成。重庆市人民大礼堂建成后,不仅成为了重庆当之无愧的地标性建筑,还被誉为20世纪新中国十大建筑物之一。1987年,一部由英国皇家建筑师学会和伦敦大学著名专家教授共同编撰出版的经典著作比较建筑史问世,它首次向世界介绍了中华人民共和国成立后我国的43项著名建筑,其中重庆市人民大礼堂排名第二,可见其在人类建筑史上的重要地位。除此之外,它还先后入选中国二十世纪建筑遗产、亚洲二十世纪十大经典建筑名录,能够获得这么多高档次的评价和肯定,在重庆的建筑中可以说是独一无二的。大礼堂正对着的这一大片广场则是1997年6月重庆成立直辖市时修建的,当时为了顺应民心,市委市政府做出了拆除人民大礼堂围墙,建设人民广场的重大决定,企业、市民自发组织踊跃捐款,仅用一百天时间广场就建成了,是真正名副其实的人民广场。大礼堂及人民广场总占地面积为6.6万平方米。"
重庆人民大礼堂及人民广场,2022-09-02IP属地：山东,重庆人民大礼堂内部空间呈圆形弯顶，高敞雄阔，自然采光通风。它是中国传统民族形式建筑与西方建筑的大跨度空间结构巧妙结合的杰作。
重庆人民大礼堂及人民广场,2023-04-29IP属地：山东,20230420下午： 1、“重庆市人民大礼堂”是重庆市地标性建筑，是一座精美的仿明清风格建筑，外形酷似北京天坛“祈年殿”，始建于1951年，原名“西南军政大会堂”，1954年更名为“西南行政委员会大礼堂”，牌匾由贺龙元帅亲笔题写，1955年改为现名，是重庆市召开人代会和党代会的场所，多任国家领导人曾莅临视察，也接待过美国总统、日本首相、柬埔寨国王等外国元首的到访，平日是国内国外著名艺术家的表演场，接待过多国的文化使团，4层的礼堂内可容纳3400人。 ①地址：重庆市渝中区人民路173号 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：1小时。 ⑤注意事项：大礼堂对面是4A景区“三峡博物馆”，两个景区一般安排同往。 2、景区可供参观的结构很简单，只有一座大礼堂，东楼、南楼北楼（长廊式）不开放。进入礼堂，通过一段庄重肃穆的阶梯后到达礼堂一楼，怕累的话两侧有扶梯。一楼走廊上挂有重庆市各项重要会议和仪式、国内外艺术团在礼堂表演的图文介绍，例如重庆直辖市挂牌仪式、德国柏林交响乐团、2005年亚太城市市长峰会“庆铃之声”文艺晚会《共同家园》、2006年中国三峡旅游节暨国际旅游小姐冠军总决赛、“群星璀璨百老汇”世纪歌舞盛典等。 3、礼堂共有4层，二楼的走廊里是金石文化展“拓古阐幽《金石同辉—全国名家拓片题跋邀请展》”；三楼是大礼堂兴建的全过程，包括1997年以来的一、二、三期及后续的维修改造，增建“人民广场”与大礼堂衔接，使之成为集文化、休闲、健身、接待于一体的开放式景区，正式对市民和游客开放；四楼走廊里无展览，此层是居高临下俯瞰大礼堂的最高层楼；五层是露天平台，但铁门锁着不开放。 4、回到一楼大礼堂内，礼堂内的座椅、台柱等设施原为昂贵的金丝楠木，后来礼堂曾经历两次火灾，便采用钢筋混凝土的材质。大礼堂内部空间宽广、威严气派。一楼观众席正门入口处的左右两侧，分别挂有钦定大礼堂设计方案的西南地区领导人合影（从左到右为：刘文辉、龙云、熊克武、刘伯承、贺龙、王维舟、邓小平），和大礼堂设计者、当代著名建筑师张家德手绘的《西南军政大会堂彩绘图》，该作品是拍摄的照片，原画作已由张家德的子女捐赠给博物馆收藏。人民广场上立有张家德的铜像。 5、要拍大礼堂全貌最好到正门外的人民广场，或者是上到三峡博物馆的石台上，能拍到富丽堂皇的大牌坊… 字数超限，在最后一张图片里继续。
重庆人民大礼堂及人民广场,2023-02-05IP属地：重庆,今天是兔年的元宵节，天气特别好，风和日丽。重庆人民大礼堂和相对而立三峡博物馆广场上游人特别的多，呈现出一派热闹、祥和的节日气氛……
重庆人民大礼堂及人民广场,2023-03-11IP属地：江苏,位于重庆市渝中区人民路173号，于1951年6月破土兴建，1954年4月竣工，是一座仿古民族建筑群，是重庆十大文化符号是中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合的杰作，也是重庆的标志建筑物之一。
重庆人民大礼堂及人民广场,2022-08-22IP属地：山东,大礼堂占地6.6万平方米，建筑面积2.5万平方米，分礼堂、南楼和北楼三部分。其中礼堂占地1.85万平方米，礼堂高65米。大厅高55米，内径46.33米。正厅内设大型舞台一座，四周环绕五层挑楼，四楼一底共4200个座位。大礼堂取中西合璧之建筑风格，主体部分仿北京天坛祈年殿及天安门形式，配以廊柱式的南楼、北楼。一色绿色琉璃瓦顶，大红廊柱，淤塞栏杆。大门为一大牌坊。整个建筑布局合谐，雄伟壮观，雕梁画栋，金碧辉煌。曾先后接待过苏联、日本、朝鲜、印度、罗马尼亚、南斯拉夫等国的大型文艺表演团体，是重庆市中外文化交流的重要场所。
重庆人民大礼堂及人民广场,2021-11-07IP属地：未知,重庆市人民大礼堂环廊上挂有修建大礼堂并审定设计方案时各位领导人的合影，从左至右依次为刘文辉、龙云、熊克武、刘伯承、贺龙、王维舟、邓小平。
重庆人民大礼堂及人民广场,2021-11-08IP属地：未知,2013年5月，被国务院列入“第七批全国重点文物保护单位”。2016年9月，重庆市人民大礼堂入选“首批中国20世纪建筑遗产”名录
重庆人民大礼堂及人民广场,2022-01-27IP属地：未知,人民大礼堂盛载了历史的足迹，也记载了重庆人民的磨难和欢乐。风雨历程40年，她分明是一座静默的圣殿，无时无刻不在分享和倾听着一代又一代重庆人的光荣与梦想。
重庆人民大礼堂及人民广场,2021-11-04IP属地：未知,重庆市人民大礼堂占地总面积为6.6万平方米，礼堂建筑高65米，大厅净空高55米，内径46.33米，圆形大厅四周环绕四层挑楼，可容纳3400余人。
重庆人民大礼堂及人民广场,2021-10-01IP属地：未知,重庆市人民大礼堂位于重庆市渝中区人民路173号，是一座仿古民族建筑群，是重庆十大文化符号，是中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合的杰作，也是重庆的标志建筑物之一。
重庆人民大礼堂及人民广场,2021-08-29IP属地：未知,重庆市人民大礼堂就在重庆中国三峡博物馆的对面，两座特别雄伟的建筑遥相呼应，简直是太美了！我们去的那天下着大雨，游客也不少。我朋友去的时候说门口还有卖冰粉，我去那天可能是因为下大雨，当地人特别少。
重庆人民大礼堂及人民广场,2022-09-03IP属地：四川,人民大礼堂外观仿天坛祈年殿，内部也是细节满满，是重庆的标志建筑物之一...从三峡博物馆逛完出来，对面就是大礼堂，可以买门票进去参观，里面没有空调，不过也比外面凉快一些，可以感受一下大礼堂的气势，想象这里歌舞升平的景象……
重庆人民大礼堂及人民广场,2021-07-26IP属地：未知,"重慶市人民大禮堂位於重慶市渝中區上清寺至學田灣附近，是一座仿古民族建築群，重慶市的標誌性建築之一。2013年3月5日列為第七批全國重點文物保護單位。大禮堂總占地面積6.6萬平方米，分為大禮堂和東樓、南樓、北樓，總建築面積18,500平方米。大禮堂建築總高度為65米，其中禮堂高55米，可容觀眾4206人。建築中軸線對稱，柱廊式的雙翼，人民大禮堂外觀像放大的北京天壇。以大禮堂為核心聯繫其他三部分。整個建築群為設在巨大的台基之上，利用中國民族建築元素體現宏大、莊重之美。"
重庆人民大礼堂及人民广场,2023-09-03IP属地：上海,能参观这一历史建筑真的是很有幸啊
重庆人民大礼堂及人民广场,2021-12-01IP属地：未知,参观大礼堂门票8元，进门都是红地毯，巨大的红色立柱光滑得闪着光，边上居然还有一部红色的自动扶梯，金色和红色的搭配，到处都显得很高贵，又显得很革命。走进大礼堂中心，巨大的大厅震撼到了我，礼堂建筑高65米，大厅净空高55米，内径46.33米，圆形大厅四周环绕四层挑楼，可容纳3400余人。这是我到过的最大的礼堂，置身其中，显得自己极其渺小，基本没有游客前来参观，偌大的礼堂，除了我们，只有工作人员。
重庆人民大礼堂及人民广场,2017-05-07IP属地：未知,也是在做旅游攻略时种的草。大礼堂是重庆最大的剧院，里面经常会举办一些重要会议和演出表演，主要来这边都是参观大礼堂的外观的，对面就是三峡博物馆，两者正对面，可以一同参观。大礼堂前还有个广场，可以看到很多小朋友在这里玩耍。 重庆人民大礼堂跟北京的大礼堂很像，便上网搜索了一下，发现重庆的大礼堂就是按照北京的标准来建造的，是建筑结构中最高等级的代表，只一眼就被它的精美奇巧、大气磅礴的外观所吸引。公车站没有直达的，从距离最近的车站过来大约还得走个20来分钟，一路跟着导航走就可以了，定位还是很准确的。 大礼堂的里面是可以进入的，需要购买门票，10元一张，学生证有折扣，里面主要是一个大大的剧场，正中间的圆形舞台。感觉在外面看看就可以了。
重庆人民大礼堂及人民广场,2021-08-30IP属地：未知,阴天、下大雨，视频中选择重庆市人民大礼堂的颜色没有那么靓丽。但是视频中反映出了大礼堂真实的雄伟与宏大，光是楼梯就有好几层。
景点,日期,用户评论
重庆人民大礼堂及人民广场,2021-10-28IP属地：未知,重庆市人民大礼堂位于重庆市渝中区人民路173号，于1951年6月破土兴建，1954年4月竣工，是一座仿古民族建筑群，是重庆十大文化符号，是中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合的杰作，也是重庆的标志建筑物之一。
重庆人民大礼堂及人民广场,2016-10-30IP属地：未知,人民大礼堂古香古色的，像天坛，挺雄伟壮丽的，广场也挺大的。大会堂的对面是三峡博物馆，可以免费参观，让人们更加了解建立三峡大坝的必要性，三峡两岸的移民是值得我们敬重的。
重庆人民大礼堂及人民广场,2022-06-22IP属地：未知,重庆市人民大礼堂，位于重庆市中心区渝中半岛，曾家岩地铁站附近的人民广场上，这是一座仿古建筑，建筑规模非常宏大，基座呈长方形，正中是像双层圆顶，展现出天圆地方的感觉，走进内部也是充满了细节感，主礼堂的中部直通顶上，气势非常恢宏，是一处值得游览的景点。
重庆人民大礼堂及人民广场,2022-03-17IP属地：未知,重庆游第三天第一站！人民大礼堂！ 这里本来我是第二天晚上过来的，本来灯是亮着的，挺壮观的，但急于找充电宝和吃饭。以为吃完饭回来拍照，然后灯都关了，9.30就关了。好遗憾，只能等到第三天早上拍了下就走了，也没法等到晚上再拍了，好遗憾。以后有机会再说吧！
重庆人民大礼堂及人民广场,2016-10-05IP属地：未知,外观像人民大会堂，2号线直达，对面就是三峡博物馆。两个地方可以一起去逛的。 大礼堂进去要付10元门票，讲真，没撒可玩性的。进去逛圈就结束了，还不如外面拍张照，到此一游呢。 拍照最舒服的地方其实也在对面的三峡博物馆平台上，好多人在那边拍照留念的。
重庆人民大礼堂及人民广场,2022-06-06IP属地：未知,人民大礼堂员重庆市的一个标志性建筑物，位于渝中区人民路173号，是建国初期建筑的一个外观设计比较洋气的很有特色的大会堂，目前已经作为景区对外开放了，可以去观赏一下的，收门票的。
重庆人民大礼堂及人民广场,2022-07-12IP属地：未知,人民大礼堂建筑风格独特，有特色的景点，地标建筑，风格独特魅力，趣味性强，打打卡，性价比超高的，不错的选择，了解了相关知识。
重庆人民大礼堂及人民广场,2017-02-16IP属地：未知,保存完好的仿天坛建筑，礼堂外观恢弘大气，礼堂内部构建细腻，参观内部仅需购买10元门票。礼堂周边有酒店、餐厅、特产超市、停车场、的士站、公交站一应俱全，与三峡博物馆仅有一个广场的距离。
重庆人民大礼堂及人民广场,2017-07-22IP属地：未知,50年代設計建造仿北京天壇祈年殿的大型表演場所，完整呈現了民國時期的建築樣貌，與陪都重慶的文化底蘊相契合。 是重慶市重要的歷史建築，至今仍擔任著重要的表演場地。
重庆人民大礼堂及人民广场,2021-08-06IP属地：未知,重庆人民大礼堂规模还是很大的，沿楼梯往上走，右边是买票的地方，十块钱每人，进去后顿时觉得不划算，就是大礼堂，真的只是大礼堂，有个单位在里面进行晚会的排练，不死心，转了一会儿
重庆人民大礼堂及人民广场,2019-08-22IP属地：未知,去了几次重庆，总是阴差阳错的没机会进去好好参观一下，这次终于进去好好参观参观，给我的第一印象就是雄伟壮观！再想想当年国家百废待兴的时候，建这么一处雄伟的建筑该是多么浩大的工程啊！折服！
重庆人民大礼堂及人民广场,2018-03-26IP属地：未知,建筑还不错 但几乎没有文字解说。来携程买了3块钱的电子讲解，非常坑，音效不好，内容浅显，不如百度百科看看！还有歌乐山的电子讲解8块钱，根本不能称之为音效，有声而已，内容零散，与景点关联性小。虽然加起来才11块钱，但真心不建议买。不如买杯果汁解解渴！
重庆人民大礼堂及人民广场,2017-02-10IP属地：未知,重庆大礼堂和山峡博物馆相对，坐地铁2号线曾家岩站下即可。门票十元，大礼堂颜色鲜艳，和北京天坛祈年殿形状有些像。内部四层。如图。中山四路就在附近，可以和周公馆，桂园等一并参观。
重庆人民大礼堂及人民广场,2016-03-15IP属地：未知,人民广场真心值得去一去，大礼堂很漂亮，广场上很热闹，很多老年人在树底下打牌，晚上有很多波的人在跳广场舞，还有喷泉，生活气息很浓郁！
重庆人民大礼堂及人民广场,2021-07-18IP属地：未知,这座始建于上世纪50年代的仿古建筑，曾经是西南地区重要的军事政治中心办公地点，据说外形是仿造了北京天坛，建筑颇具气势，内里的装修也是古今合璧，大礼堂外面的广场，成为了市民休闲娱乐的场所，周边还有其他的景点可以参观，顺便转一转还是很不错的。
重庆人民大礼堂及人民广场,2020-02-09IP属地：未知,重庆必逛景点|人民大礼堂 从重庆三峡博物馆出来，不用下楼就能看到对面的人民大礼堂了 建筑物确实非常的美，只是周围房屋比较多，无法拍摄到他最美的状态 ·相关历史简介：始建于1951年，1954年竣工，这是一座仿古民族建筑群，也是重庆的十大文化符号，标志性建筑，来重庆喜欢建筑物的，一定要来这里看看哦，真的很美。 ·❤️建筑特色： 中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合，中心礼堂是圆形主题建筑，三层圆顶由大红廊柱支撑，绿色琉璃瓦，正中的金色“顶子”仿照的是天坛的祈年殿设计； 中西合璧的是中间的半圆形球壳顶架。 搭配大礼堂的还有门口的牌坊，这是仿木结构的混凝土结构，所以比较的牢固。 ·亮点：最特别的自然是他的建筑，远观或者近看都非常的气势宏伟。 ———————— 景点：人民大礼堂 门票：免费/演出需购演出票 坐标：渝中区人民路173号 交通：公交车坐到大礼堂站/地铁站坐到曾家岩站 ⏰开放时间：8:30-18:00 推荐游览时间：1-2小时 亮点：重庆标志性建筑，精美奇巧的东方建筑；
重庆人民大礼堂及人民广场,2019-04-04IP属地：未知,重庆标志性建筑物，值得去看一下。重庆市人民大礼堂位于重庆市渝中区人民路学田湾，于1951年6月破土兴建，1954年4月竣工，是一座仿古民族建筑群，是重庆十大文化符号[1]，是中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合的杰作[2]，也是重庆的标志建筑物之一。[3] 重庆市人民大礼堂由大礼堂和东、南、北楼四大部分组成。占地总面积为6.6万平方米，其中礼堂占地1.85万平方米。礼堂建筑高65米，大厅净空高55米，内径46.33米，圆形大厅四周环绕四层挑楼，可容纳3400余人。
重庆人民大礼堂及人民广场,2018-09-22IP属地：未知,到重庆不去人民大会堂是非常可惜的。这次特意安排时间逛一逛，从上清寺中山四路开始，一路沿着中山四路顺时针走，来到重庆比较著名的人民大会堂。这个建筑高大上，非常漂亮，门前是广场，对面是三峡博物馆。由于是白天看的，晚上有灯光可能更好看。
重庆人民大礼堂及人民广场,2018-07-15IP属地：未知,"重庆市人民大礼堂是新中国成立后（1951年~1954年）建造的一座仿古建筑群，主体建筑---圆形的大礼堂极像北京天坛的祈年殿，正中的望楼是北京天安门的缩影，南北两翼似北京紫禁城四角的塔楼。大礼堂作为重庆市的标志性建筑和中国最宏伟的礼堂建筑之一，被评为""亚洲二十世纪十大经典建筑""。现在是重庆市举行大型集会和演出活动的中心，可以进去参观，门票10元。 大礼堂正对“中国三峡博物馆”，这里是一处全面了解壮观三峡和重庆人文历史的艺术殿堂，免费参观。 大礼堂的右边有一个古玩市场，感兴趣的可以去淘宝、捡漏。"
重庆人民大礼堂及人民广场,2018-06-28IP属地：未知,重庆人民大礼堂，算是重庆的一个标志建筑了，几十年历史了，依托山势建在最高处，借鉴天坛的传统建筑格局，站到那就有庄严肃穆感，门前是人民广场，正对面是三峡博物馆，侧面是重庆人民政府，典型的政治中心，现在也是重庆的一张旅游名片，游客挺多。
重庆人民大礼堂及人民广场,2018-03-08IP属地：未知,旅行打卡地点之一，原本不在行程内，但因各种原因最后还是去了，广场很大，但要门票才能进去又觉得没有兴致，所以只在广场拍照就走了，原本想去附近逛逛，但发现没什么好逛的，还有一点就是离地铁站虽近，但进地铁后还是要走好久，有点累人
重庆人民大礼堂及人民广场,2018-01-28IP属地：未知,人民大礼堂就在三峡博物馆正对面，城轨或公交车“上清寺”站可以到达。 人民大礼堂的的确很雄伟，不管是外套还是里面的设计，都能感受到威严。 礼堂外面金碧辉煌，是中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合的杰作。 门票要10元/人，不太建议买门票进去看，因为可看性不高，就是看一个礼堂而已，没有其它的讲解。
重庆人民大礼堂及人民广场,2017-12-16IP属地：未知,重庆人民广场建成于1997年6月，是重庆市的市政、文化、休闲广场，也是举行全市盛大集会和活动的场所。广场的三期扩建工程已经顺利完成。广场的北面已建起重庆中国三峡博物馆，与重庆人民大礼堂、大广场遥相呼应，形成三位一体、气势恢弘的新的城市景观。
重庆人民大礼堂及人民广场,2017-05-01IP属地：未知,外观。可真壮观。十元门票。进去看了看，里面不大，四层，能容纳4000人。挨着重庆市人民政府，在三峡博物馆正对面儿。中间是很大的广场。五月份这个季节真是很好的季节。三峡博物馆是免费的，挺大的，我们没有细看。
重庆人民大礼堂及人民广场,2016-12-10IP属地：未知,重庆市人民大礼堂位于渝中区，于1951年6月破土兴建，1954年4月竣工，是一座仿古民族建筑群，也是重庆独具特色的标志建筑物之一。气势恢宏，要10元门票，进去只能感受一下这个建筑的宏大转一圈。礼堂对面是三峡博物馆。
重庆人民大礼堂及人民广场,2018-07-15IP属地：未知,如果对建筑有一些兴趣，就不要错过重庆市人民大礼堂。中西结合的建筑，远晀让人联想到天坛、天安门广场和广州的中山纪念堂。颇为恢宏大气。礼堂对面是重庆三峡博物馆。
重庆人民大礼堂及人民广场,2017-07-16IP属地：未知,很漂亮哟对面还有一个三峡博物馆超级棒！然后人民会堂需要门票10元钱，外面感觉很漂亮，因为太迟了想要先去吃饭就没有进入参观，但是感觉里面也是一个很不错的地方
重庆人民大礼堂及人民广场,2017-05-29IP属地：未知,仿天坛建的，十分壮丽，在广场上可以大肆拍照，但是不建议花10元进去，就一个大礼堂。外面拍点外景就行，地铁到牛角沱下来10分钟的路程，或者公交车也很方便。
重庆人民大礼堂及人民广场,2017-10-10IP属地：未知,中间圆型主题建筑外墙在修缮，被绿色网及支架所包围，但在晚上仍不失其风范，庄严俊美！牌坊也被围起来待修，但灯光依旧耀眼！这已成位重庆的标志性建筑，承载着历史，沉淀着文化！
重庆人民大礼堂及人民广场,2016-02-15IP属地：未知,对门是三峡博物馆，从外面看真的老霸气了，但是进去之后里面在装修，没挑对日子，里面放了不少大师的人物风景画。瞬间逼格高了一个档次。
重庆人民大礼堂及人民广场,2018-11-14IP属地：未知,重庆人民大礼堂坐落于重庆市渝中区人民路173号，交通便利，多条公交线路可达，也可以乘坐地铁二号线、三号线，距解放碑、观音桥大约10分钟车程！邻近三峡博物馆、中山四路、附近餐饮美食业发达，
重庆人民大礼堂及人民广场,2021-05-13IP属地：未知,这居然也是个景点，外观照片网上都是，我来放几张内部照，每层楼还有介绍可以看，这样的大礼堂能参观的不多吧。
重庆人民大礼堂及人民广场,2016-02-11IP属地：未知,门票十元钱，外观很宏伟，里面能座四千人，很有气势，在三峡博物馆的对面，感觉还是不错的，外面的景更好些。
重庆人民大礼堂及人民广场,2020-03-25IP属地：未知,重庆市人民大礼堂，位于重庆市渝中区人民路173号，于1951年6月破土兴建，1954年4月竣工，是一座仿古民族建筑群，是重庆十大文化符号[1]，是中国传统宫殿建筑风格与西方建筑的大跨度结构巧妙结合的杰作[2]，也是重庆的标志建筑物之一。
重庆人民大礼堂及人民广场,2019-02-09IP属地：未知,这几天来重庆旅游都是阴天，早上坐车到达人民大礼堂，也是仿古建筑，前面一个很大的广场，有很多人在此休息玩耍，顺着台阶向上走到大礼堂，红漆大门显得庄严肃穆，没有进入参观，只是在外面转了转，左右两边各有一栋小楼。
重庆人民大礼堂及人民广场,2018-04-16IP属地：未知,重庆的地标建筑之一，也是重庆市民的休闲去处。大礼堂对面的中国三峡博物馆很值得一去，可以了解重庆以及长江三峡的人文历史，三峡博物馆是免费开放。
重庆人民大礼堂及人民广场,2018-09-12IP属地：未知,是山城重庆最大的城市广场，难得在市中心有大片的开阔平地，依山而建，绿化很好，著名的大礼堂、三峡博物馆分布左右，是人们到重庆游览的必到景点。
重庆人民大礼堂及人民广场,2020-07-27IP属地：未知,重庆人民大礼堂是重庆十大文化符号之一，也是重庆的标志性建筑之一，现在的人民大礼堂已经是国家AAAA级旅游景区和国家重点文物保护单位，它在国内外均有较大的影响，被评为“亚洲二十世纪十大经典建筑”。
