景区名称,星级数
重庆万州同鑫蔬菜大观园,3
重庆奉节鑫鼎农业生态观光园,3
重庆万州石桥水乡湿地公园,3
重庆渝北放牛坪景区,3
重庆开州盛山植物园,3
重庆北碚西山坪苓茏苑,3
荷和原乡,3
重庆合川友缘山庄,3
重庆药用植物园,3
重庆万盛金蝶湖文化公园景区,3
重庆市亚源生态农业观光园,3
重庆石柱万寿古寨景区,3
重庆万州奇芳花谷景区,3
重庆涪陵•古今花海景区,3
重庆美心红酒小镇景区,3
重庆荣昌夏布小镇景区,3
重庆中华·梁平柚海,3
重庆万盛科技馆,3
重庆巫溪观峰村景区,3
重庆巫溪红池云乡旅游区,3
重庆垫江李花源景区,3
重庆奉节茅草坝滑雪场景区,3
重庆彭水周家寨旅游区,3
重庆彭水罗家坨苗寨景区,3
重庆彭水泉水渔都景区,3
重庆江津骆騋山景区,3
重庆垫江仙草园中医文化旅游区,3
重庆城口乡土岚天景区,3
重庆万州七星谷景区,3
重庆江津科技馆,3
重庆永川博物馆,3
重庆璧山东岳体育公园景区,3
重庆梁平川西渔村景区,3
重庆忠县灌湖水乡景区,3
重庆云阳三峡农耕园,3
重庆大足大有田园景区,3
重庆开州长生汖奇迹乐园,3
重庆绿色星球科普乐园景区,3
重庆市九龙坡区中共四川省临委会扩大会议会址（周贡植故居）,3
大足雍溪里景区,3
重庆丰都小官山古民居旅游景区,3
重庆彭水阿依林海景区,3
重庆梁平百里竹海·猎神景区,3
开州开心之洲游乐城,3
万盛经开区博物馆,3
万州大唐荔园,3
重庆荣昌唯美陶瓷博览中心,3
丰都石里红枫景区,3
巫溪耕歌龙池景区,3
巫溪县一线天景区,3
巫溪兰英天路景区,3
重庆大韩民国临时政府旧址陈列馆,2
重庆市南岸岚苑景区,2
重庆宋庆龄纪念馆,2
重庆巫溪荆竹峡-汉风神谷景区,2
重庆竹林公园,2
重庆万县“九五”惨案纪念馆,2
重庆涪陵沙溪温泉,2
重庆綦江石壕红军烈士墓,2
重庆璧山露德堂景区,2
重庆酉阳南腰界红色旅游经典景区,2
重庆酉阳石泉古苗寨,2
重庆酉阳毛坝乡群贤居避暑山庄,2
重庆铜梁邱少云烈士纪念馆,2
重庆大足五金博物馆,2
重庆奉节西部新区滨河公园,2
重庆丰都江池横梁景区,2
重庆涪陵李蔚如故里,2
重庆开州天心桥景区,2
重庆涪陵巴山夜雨休闲旅游区,2
重庆开州温泉仙女洞,2
重庆璧山三担湖公园,2
重庆铜梁西部农林大世界,2
重庆奉节夔门欢乐谷,2
重庆奉节县空谷度假村,2
重庆奉节县铭阳农庄,2
重庆云阳县香盟·花千谷景区,2
重庆云阳县枣康源景区,2
重庆云阳县锣鼓宕风景区,2
涪陵四川红军第二路游击队烈士陵园,2
重庆云阳绿岛景区,2
重庆云阳映山红公园,2
重庆云阳龙缸滑雪场,2
重庆云阳三峡阳菊生态园,2
重庆云阳石佛山生态农业园,2
重庆涪陵方坪茶舍,2
重庆云阳蔈草镇党群教育实践基地,2
重庆云阳栖霞油菜花景区,2
重庆云阳青云寨景区,2
重庆云阳彭咏梧纪念馆,2
重庆巫溪县博物馆,2
重庆巫溪古路镇青龙洞景区,2
重庆巫溪上磺镇巫甸园景区,2
重庆巫溪胜利乡洪仙岩景区,2
重庆市广益中学校园景区,1
